Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,120,2,no,no,no
Squat,140,2,no,no,no
Squat,150,2,no,no,no
Squat,150,2,no,no,no
Squat,150,3,no,no,no
Seated Dumbell Shoulder Press,15,12,no,no,no
Seated Dumbell Shoulder Press,25,8,no,no,no
Seated Dumbell Shoulder Press,30,3,no,no,no
Seated Dumbell Shoulder Press,25,5,no,no,no
Assisted Chinups,0,10,no,no,no
Assisted Chinups,0,10,no,no,no
Assisted Chinups,0,10,no,no,no
Assisted Chinups,0,10,no,no,no
Seated Rows,60,8,no,no,no
Seated Rows,60,8,no,no,no
Seated Rows,60,8,no,no,no
Facepulls,20,16,no,no,no
Facepulls,20,14,no,no,no
Facepulls,20,12,no,no,no
