Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,120,2,no,no,no
Squat,140,1,no,no,no
Squat,150,1,no,no,no
Squat,160,1,no,no,no
Squat,160,1,no,no,no
Squat,160,2,no,no,no
Standing Barbell Military Press,20,8,no,no,no
Standing Barbell Military Press,40,8,no,no,no
Standing Barbell Military Press,52.5,8,no,no,no
Standing Barbell Military Press,52.5,8,no,no,no
Standing Barbell Military Press,52.5,8,no,no,no
Behind the Neck Snatch Grip Press,20,8,no,no,no
Behind the Neck Snatch Grip Press,30,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Lat Pulldowns,65,8,no,no,no
Behind the Neck Lat Pulldowns,50,8,no,no,no
Behind the Neck Lat Pulldowns,55,8,no,no,no
Behind the Neck Lat Pulldowns,55,8,no,no,no
