Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,8,no,no,no
Squat,20,8,no,no,no
Squat,60,3,no,no,no
Squat,60,3,no,no,no
Squat,90,3,no,no,no
Squat,110,2,no,no,no
Squat,130,2,no,no,no
Squat,147.5,2,no,no,no
Squat,147.5,2,no,no,no
Squat,147.5,2,no,no,no
Hamstring Curls,35,15,no,no,no
Hamstring Curls,60,10,no,no,no
Hamstring Curls,60,10,no,no,no
Hamstring Curls,60,16,no,no,no
Leg Extensions,15,20,no,no,no
Leg Extensions,30,20,no,no,no
Leg Extensions,35,14,no,no,no
Leg Press,135,10,no,no,no
Leg Press,175,10,no,no,no
Leg Press,195,10,no,no,no
Seated Dumbell Shoulder Press,15,10,no,no,no
Seated Dumbell Shoulder Press,30,10,no,no,no
Seated Dumbell Shoulder Press,35,8,no,no,no
Seated Dumbell Shoulder Press,35,4,no,no,no
